관리기관명,경로당명,소재지,연락처,위도,경도
중구,중앙동 원로의집,부산광역시 중구 중앙대로115번길1-6 809호(부원),051-468-9982,35.10789836,129.0358282
중구,동광동할머니 원로의집,부산광역시 중구 동광길111번길 11,051-468-5226,35.10790539,129.0350056
중구,동광동 원로의집,부산광역시 중구 샘길 12 ,051-463-1936,35.10643576,129.0329358
중구,대청만우 원로의집,부산광역시 중구 중구로91번안길 15,051-469-8070,35.10521914,129.0297285
중구,대청화목 원로의집,부산광역시 중구 대청북길 14(근영빌라),051-463-1535,35.10531683,129.0288412
중구,대청공원 원로의집,부산광역시 중구 망양로355번길 37,051-468-4019,35.10627203,129.0288752
중구,행복 원로의집,부산광역시 중구 대청로99번길 22,051-463-9933,35.10453177,129.0310580
중구,대청망양 원로의집,부산광역시 중구 망양로335번길 6,051-463-3356,35.10790550,129.0297075
중구,보수새마을 원로의집,부산광역시 중구 망양로319번길 24,051-253-1676,35.10638430,129.0273300
중구,보수죽화 원로의집,부산광역시 중구 보수대로144번길 15,051-255-3634,35.10845620,129.0242956
중구,보혜 원로의집,부산광역시 중구 보동길 17,051-248-0678,35.10481984,129.0268606
중구,구름다리 원로의집,부산광역시 중구 법수길 76,051-248-0595,35.10717031,129.0249925
중구,대림에이스 원로의집,부산광역시 중구 법수길 74,051-256-7350,35.10668026,129.0253812
중구,보수 원로의집,부산광역시 중구 흑교로52번길 6,051-257-3321,35.10422015,129.0252955
중구,보수부녀 원로의집,부산광역시 중구 흑교로52번길 6,051-243-0415,35.10422015,129.0252955
중구,보수2가 원로의집,부산광역시 중구 보수대로124번길 21-7,051-248-2648,35.10604392,129.0228175
중구,보수매화 원로의집,부산광역시 중구 보수대로124번길 21-7,051-248-2640,35.10604392,129.0228175
중구,보수대밭골 원로의집,부산광역시 중구 고가길6,051-231-8890,35.10459145,129.0261557
중구,부평동 원로의집,부산광역시 중구 중구로29번길 21,051-246-6506,35.10035893,129.0267388
중구,부평희망 원로의집,부산광역시 중구 흑교로25번길 25-1,051-231-2341,35.10189213,129.0223816
중구,영주1동 원로의집,부산광역시 중구 초량상로7번길 11,051-463-1511,35.11321322,129.0341184
중구,대명 원로의집,부산광역시 중구 중구로 182-6 303호(골든웰빌),051-442-1555,35.11084552,129.0348234
중구,우남이채롬 원로의집,부산광역시 중구 초량상로 13,051-469-1788,35.11344832,129.0350867
중구,영주충효 원로의집,부산광역시 중구 동영로 73번길 3,051-469-5666,35.11181652,129.0319507
중구,영주2동 원로의집,부산광역시 중구 영초길 103(사용:영초길 77),051-462-4552,35.11385060,129.0333696
중구,영주금호타운 원로의집,부산광역시 중구 영주로 49,051-468-8094,35.11137255,129.0301022
중구,동아11블럭 원로의집,부산광역시 중구 영주로 65,051-441-7485,35.11226689,129.0298721
중구,동아 9블럭 원로의집,부산광역시 중구 영주로 73,051-468-9590,35.11365416,129.0299774
중구,은하아파트 원로의집,부산광역시 중구 영주로 87,051-463-7999,35.11449167,129.0311288
중구,영주아파트 원로의집,부산광역시 중구 망양로 396,051-462-4331,35.11186392,129.0295599
중구,영주자유 원로의집,부산광역시 중구 망양로 371-3,051-469-2223,35.10978522,129.0302028
서구,제1부녀경로당,부산광역시 서구 구덕로274번길 56(동대신동1가),051-242-6487,35.10980180,129.0218663
서구,제1경로당,부산광역시 서구 구덕로274번길 56(동대신동1가),051-242-3927,35.10980180,129.0218663
서구,장수경로당,부산광역시 서구 망양로 224-3(동대신동1가),051-243-7896,35.11058171,129.0245087
서구,동일경로당,부산광역시 서구 망양로 224-3(동대신동1가),051-255-0799,35.11058171,129.0245087
서구,북산경로당,부산광역시 서구 중앙공원로 23-1(동대신동2가),051-242-1977,35.11623058,129.0237897
서구,초현경로당,부산광역시 서구 망양로174번길 8(동대신동2가),051-248-5226,35.11427921,129.0243028
서구,동산경로당,부산광역시 서구 망양로195번길 18(동대신동2가),051-241-6844,35.11287706,129.0270167
서구,무궁화경로당,부산광역시 서구 먕양로 202-9(동대신동2가),051-242-4516,35.10151142,129.0194264
서구,동대2부녀경로당,"부산광역시 서구 보수대로210번길 2(동대신동2가), 2층",051-242-0302,35.11389499,129.0206998
서구,서부경로당,"부산광역시 서구 보수대로210번길 2(동대신동2가), 1층",051-255-2990,35.11389499,129.0206998
서구,관덕부녀경로당,부산광역시 서구 망양로113번길 1(동대신동3가),051-242-6077,35.11749422,129.0193186
서구,대신경로당,부산광역시 서구 망양로113번길 1(동대신동3가),051-242-2445,35.11749422,129.0193186
서구,동신경로당,"부산광역시 서구 구덕로346번길 5, 204호(동대신동3가, 송산빌라)",051-231-6441,35.11469361,129.0157732
서구,구덕골경로당,"부산광역시 서구 보수대로230번길 17,102호(동대신동3가)",051-253-6441,35.11549211,129.0194362
서구,상록고운경로당,부산광역시 서구 구덕로285번길 30-5(서대신동1가),051-241-1008,35.10913565,129.0164062
서구,서대경로당,부산광역시 서구 구덕로305번길 4-23(서대신동2가),051-243-6505,35.11146720,129.0157002
서구,서대2경로당,부산광역시 서구 대티로 129-5(서대신동2가),051-253-4075,35.11075302,129.0094826
서구,산월경로당,부산광역시 서구 해돋이로 381(서대신동1가),051-253-4371,35.10632124,129.0123456
서구,구덕경로당,부산광역시 서구 대신로 13-3(서대신동3가),051-242-8656,35.11285269,129.0117134
서구,구덕부녀경로당,부산광역시 서구 대신로 13-3(서대신동3가),051-244-7873,35.11285269,129.0117134
서구,구덕자유아파트경로당,"부산광역시 서구 망양로33번길 27(서대신동3가,구덕자유아파트)",051-254-7954,35.11355776,129.0125559
서구,협성아파트경로당,"부산광역시 서구 대티로143번길 4(서대신동3가,협성아파트)",051-245-1585,35.11208856,129.0103876
서구,대신롯데캐슬아파트경로당,"부산광역시 서구 대티로 161(서대신동3가,대신롯데캐슬아파트)",051-244-9003,35.11663227,129.0103121
서구,수원경로당,부산광역시 서구 꽃마을로 72-6(서대신동3가),051-248-5980,35.12046956,129.0106338
서구,한마음경로당,부산광역시 서구 꽃마을로 65번길10-3(서대신동3가),051-244-6777,35.11983265,129.0102639
서구,꽃마을경로당,부산광역시 서구 꽃마을로163번길 7(서대신동3가),051-243-4852,35.12735188,129.0068350
서구,꽃마을부녀경로당,부산광역시 서구 꽃마을로163번길 7(서대신동3가),051-243-4852,35.12735188,129.0068350
서구,금호어울림아파트경로당,"부산광역시 서구 꽃마을로57번길 21-3, 101동 102호(서대신동3가,금호어울림아파트)",051-923-9003,35.11851298,129.0106974
서구,남성한빛아파트경로당,"부산광역시 서구 꽃마을로 43(서대신동3가, 남성한빛아파트)",051-975-2845,35.11754336,129.0113107
서구,한신휴경로당,부산광역시 서구 보수대로284(서대신동4가),051-231-4266,35.11990842,129.0130624
서구,유진대림아파트경로당,부산광역시 서구 보수대로320번길11,051-254-6023,35.12075737,129.0117893
서구,대신더샵경로당,부산광역시 서구 꽃마을로48 대신더샵@,051-257-2100,35.11831115,129.0121979
서구,부용경로당,부산광역시 서구 부용로38번길 26-12(부용동2가),051-247-2340,35.10681712,129.0187796
서구,부민경로당,부산광역시 서구 해돋이로323(부민동3가),051-257-1385,35.10498576,129.0168153
서구,부민e-편한세상경로당,"부산광역시 서구 해돋이로 313(부민동3가,부민이편한세상)",051-992-0202,35.10431189,129.0165546
서구,어르신쉼터경로당,부산광역시 서구 해돋이로239번길 11-1,051-253-8528,35.09773204,129.0165057
서구,송이경로당,부산광역시 서구 천마산로 416,051-231-3325,35.09842431,129.0145730
서구,덕이경로당,부산광역시 서구 천마산로 416,051-231-3326,35.09842431,129.0145730
서구,천부경로당,부산광역시 서구 아미로 19-1,051-243-7366,35.09876180,129.0119449
서구,천아경로당,부산광역시 서구 아미로 19-1,051-256-5427,35.09876180,129.0119449
서구,아산경로당,부산광역시 서구 까치고개로 123-3,051-244-6451,35.10236702,129.0109146
서구,아미경로당,부산광역시 서구 까치고개로 158-1,051-247-0277,35.10140922,129.0144236
서구,아미1동경로당,부산광역시 서구 구덕로185번길 28,051-247-3867,35.10136779,129.0182839
서구,2.8부녀경로당,부산광역시 서구 옥천로 141,051-247-3859,35.09815376,129.0113561
서구,초향경로당,부산광역시 서구 해돋이로 182(초장동),051-248-8255,35.09342484,129.0184702
서구,초장할머니경로당,부산광역시 서구 초장로8번길 38-116(초장동),051-248-2155,35.09294490,129.0198022
서구,충무경로당,부산광역시 서구 까치고개로 233-2(토성동2가),051-241-0532,35.09989974,129.0213477
서구,신창경로당,부산광역시 서구 자갈치로 14-11(충무동1가),051-256-5606,35.09593843,129.0261020
서구,산해할머니경로당,부산광역시 서구 천마로205번길 53(충무동2가),051-246-5098,35.09584823,129.0218455
서구,산해경로당,부산광역시 서구 천마로205번길 53(충무동2가),051-254-9837,35.09584823,129.0218455
서구,천마경로당,부산광역시 서구 해돋이로 156(남부민동),051-247-3657,35.09168177,129.0199400
서구,남부경로당(하),부산광역시 서구 충무대로256번길 2(남부민동),051-254-7761,35.09327834,129.0240836
서구,남일경로당,부산광역시 서구 천마로 176(남부민동),051-242-6613,35.09132331,129.0228966
서구,천우경로당,부산광역시 서구 천마로 115(남부민동),051-255-0888,35.08616046,129.0226346
서구,동심부녀경로당,부산광역시 서구 충무대로 159-19(남부민동),051-244-2253,35.08463106,129.0244140
서구,남부경로당(상),부산광역시 서구 해돋이로99번길 3(남부민동),051-254-5216,35.08752095,129.0216427
서구,남산경로당,부산광역시 서구 충무대로145번길 16(남부민동),051-253-8331,35.08307012,129.0245918
서구,등대경로당,부산광역시 서구 등대로 109(남부민동),051-253-5074,35.08534404,129.0264407
서구,남성경로당,부산광역시 서구 천마로 116-1(남부민동),051-256-4364,35.08616753,129.0228650
서구,부암경로당,부산광역시 서구 천해로34번길 1(남부민동),051-241-1898,35.08438756,129.0158684
서구,상조경로당,부산광역시 서구 해돋이로 55(남부민동),051-255-9998,35.08432257,129.0193109
서구,대진경로당,"부산광역시 서구 충무대로 185(남부민동,대진타워)",051-242-9457,35.08716708,129.0240509
서구,대림비치아파트경로당,"부산광역시 서구 충무대로 133(남부민동,대림비치아파트)",051-243-5414,35.08225838,129.0246474
서구,남부민풀리페아파트경로당,"부산광역시 서구 해돋이로 23(남부민동,풀리페아파트 101동)",051-248-6660,35.08292846,129.0200173
서구,송암노모경로당,부산광역시 서구 충무대로 38(암남동),051-241-2073,35.07869971,129.0169381
서구,천암경로당,부산광역시 서구 천해로39번길 3-1(암남동),051-254-2174,35.08396927,129.0152271
서구,청송경로당,부산광역시 서구 천해로39번길 3-1(암남동),051-257-2945,35.08396927,129.0152271
