관리번호,시군구명,동명,리명,지번,도로명,구코드,동코드,리코드,교차로명,경도,위도
6-020,동래구,온천동,,1470,아시아드대로 232,26260,26260108,,동래광혜병원,129.071739,35.20702383
11-036,금정구,부곡동,,111-8,,26410,26410109,,장전교,129.0879199,35.24048945
10-183,사하구,감천동,,789,,26380,26380108,,은광LPG충전소,128.9939815,35.08972354
10-080,사하구,구평동,,163-2,,26380,26380107,,삼일냉장,128.9871522,35.0825588
15-115,사상구,모라동,,75,모라로192번길 50,26530,26530102,,모동초교,129.0016631,35.18461546
15-114,사상구,모라동,,552,모라로110번길 73,26530,26530102,,모산초교,128.9958815,35.1844133
15-113,사상구,모라동,,1285,모라로 90-7,26530,26530102,,신모라사거리,128.9911271,35.1861384
15-111,사상구,삼락동,,363-2,낙동대로1384번길 43,26530,26530101,,삼락초교,128.9794939,35.18246655
5-143,부산진구,양정동,,155,,26230,26230101,,동호여상,129.0768898,35.1751008
15-112,사상구,모라동,,340-5,낙동대로1412번길 84,26530,26530102,,(주)농심,128.9825091,35.18597515
15-109,사상구,덕포동,,406-1,삼덕로 83,26530,26530103,,덕포초교,128.9860301,35.17343404
15-108,사상구,덕포동,,402-7,삼덕로 15,26530,26530103,,사상경찰서,128.979576,35.17423483
12-155,강서구,성북동,,1488,신항남로 330,26440,26440119,,견마교,128.8347535,35.07976368
15-107,사상구,삼락동,,419-22,낙동대로1234번길 6,26530,26530101,,동양한신아파트,128.978458,35.16946412
15-106,사상구,괘법동,,570-4,광장로 10,26530,26530104,,괘법교,128.9768845,35.16307921
15-032,사상구,삼락동,,Feb-52,낙동대로1548번길 9,26530,26530101,,옥림탕,128.9857316,35.19517846
15-142,사상구,괘법동,,572-1,광장로37번길 11,26530,26530104,,광장로(고궁예식장),128.9817035,35.1625142
15-104,사상구,괘법동,,572-1,광장로38번길 9,26530,26530104,,세화의원,128.9839464,35.15902128
15-102,사상구,감전동,,174,사상로 118,26530,26530105,,감전초교,128.9888892,35.15623828
15-099,사상구,엄궁동,,618-22,,26530,26530108,,엄궁동사무소,128.9704326,35.1291683
15-098,사상구,주례동,,155-3,,26530,26530106,,동서대사거리(뉴동서정비),129.0114996,35.14942934
15-096,사상구,모라동,,648-2,모라로37번길 16,26530,26530102,,유진맨션,128.9863587,35.19079411
15-095,사상구,모라동,,1285,,26530,26530102,,신모라철길밑,128.9891961,35.18699058
15-094,사상구,덕포동,,112,,26530,26530103,,감현2호교,128.9874351,35.16758402
15-001,사상구,주례동,,201-2,,26530,26530106,,주례여중,129.0057711,35.15073772
15-092,사상구,감전동,,156-21,학감대로221번길 10,26530,26530105,,사상구청,128.9900502,35.15217215
15-090,사상구,엄궁동,,35-14,엄궁로179번길 11,26530,26530108,,엄궁초교후문앞,128.9743643,35.12976705
15-088,사상구,괘법동,,158-1,,26530,26530104,,백양로지하차도,128.9907269,35.1647462
15-087,사상구,감전동,,95,새벽시장로9번길 35,26530,26530105,,괘법동산업교앞,128.9742782,35.15788046
15-085,사상구,엄궁동,,138-2,,26530,26530108,,동궁초교입구,128.9732661,35.12302383
15-084,사상구,엄궁동,,192,,26530,26530108,,엄궁동 한신2차아파트앞,128.9705912,35.12425221
15-082,사상구,주례동,,849-4,사상로38번길 40,26530,26530106,,주례1동굴다리,128.9964354,35.15260426
15-081,사상구,괘법동,,524-38,사상로233번길 7,26530,26530104,,대원웨딩,128.9827268,35.16620519
15-057,사상구,덕포동,,429-7,사상로269번길 11-1,26530,26530103,,사상초교,128.9821029,35.1675507
15-079,사상구,감전동,,174,새벽로168번길 45-12,26530,26530105,,럭키슈퍼앞,128.9870535,35.15542333
15-078,사상구,덕포동,,417-26,사상로309번길 52-16,26530,26530103,,동부주유소,128.9817617,35.17408516
15-077,사상구,모라동,,423-2,,26530,26530102,,동백유치원,128.9920026,35.18537574
15-076,사상구,모라동,,75-16,,26530,26530102,,모라주공2단지,128.9939337,35.18605796
15-075,사상구,감전동,,253-4,백양대로572번길 12,26530,26530105,,현길빌라,128.9929059,35.15829301
15-074,사상구,엄궁동,,642-1,강변대로 512,26530,26530108,,엄궁농협화훼단지,128.9649455,35.13222157
15-073,사상구,엄궁동,,651-11,강변대로456번길 15-5,26530,26530108,,농산물도매시장3거리,128.963806,35.12773293
15-072,사상구,학장동,,06월 11일,,26530,26530107,,동신목재,128.9744702,35.13622176
15-069,사상구,학장동,,772,,26530,26530107,,감전소방PB,128.9769304,35.15162212
15-135,사상구,주례동,,286,백양대로 459,26530,26530106,,주감초등학교,129.001553,35.15339551
15-065,북구,구포동,,1127-2,,26320,26320105,,삼진섬유,128.9902572,35.19380257
15-064,사상구,모라동,,259-6,,26530,26530102,,평화가스삼거리,128.9894949,35.19165209
15-063,사상구,모라동,,653-29,,26530,26530102,,모라초등학교,128.9880579,35.18846586
