연번,배움터구분,배움터명,도로명주소,위도,경도,전화번호,데이터기준일자
1,총괄거점,유라시아플랫폼,부산광역시 동구 중앙대로 210 (초량동) 유라시아플랫폼 112호,35.11501275,129.040811,051-987-0201,2022-11-30
2,거점센터,부산진구청,부산광역시 부산진구 시민공원로 30 (부암동) 부산진구 정보화교육장,35.16283294,129.0531876,051-605-4874,2022-11-30
3,일반배움터,부산 노인회관,부산광역시 부산진구 중앙대로 852(전포동) ,35.16683026,129.0671142,051-804-6090,2022-11-30
4,일반배움터,개금종합사회복지관,부산광역시 부산진구 백양관문로77번길 140 (개금동) 개금종합사회복지관,35.16412973,129.0249942,051-893-5034,2022-11-30
5,일반배움터,BBS중고등학교,부산광역시 부산진구 동평로405번길 85(양정동),35.17729074,129.0717193,,2022-11-30
6,일반배움터,부산시민도서관,부산광역시 부산진구 월드컵대로 462 (초읍동) 부산광역시립시민도서관,35.18280723,129.0501408,051-810-8212,2022-11-30
7,일반배움터,성지문화원,부산광역시 부산진구 동평로94번길 28 (당감동) 성지문화원,35.16430652,129.0401882,,2022-11-30
8,일반배움터,부산진구 노인종합복지관,부산광역시 부산진구 전포대로300번길 6 (전포동) 부산진구노인복지관,35.16404711,129.0658484,051-987-0201,2022-11-30
9,거점센터,동래구청 정보화교육장,부산광역시 동래구 온천천로359번길 70 (낙민동) 동래구청 정보화교육장,35.19649347,129.0935165,051-550-4301,2022-11-30
10,일반배움터,동래구종합사회복지관,부산광역시 동래구 시실로107번길 151 (명장동) 동래구종합사회복지관,35.21122134,129.0985687,051-987-0201,2022-11-30
11,일반배움터,숲도서관,부산광역시 동래구 안락동 107-1 1층 ,35.19326302,129.1136554,051-550-4301,2022-11-30
12,일반배움터,팽나무하우스,부산광역시 동래구 충렬대로256번길 31 1797 팽나무하우스 ,35.19970752,129.0869488,051-550-4301,2022-11-30
13,일반배움터,쌍용예가 커뮤니티센터,"부산광역시 동래구 사직로 80 (사직동, 사직 쌍용 예가) 쌍용아파트 관리사무소 1층",35.19662439,129.0575114,051-550-4301,2022-11-30
14,거점센터,거제평생학습관,부산광역시 연제구 거제대로 180 (거제동) 거제3동 행정복지센터 2층 정보화교육장,35.18428113,129.0711963,051-665-4301,2022-11-30
15,일반배움터,거제종합사회복지관,부산광역시 연제구 아시아드대로 46번길 45 ,35.18847696,129.0707024,051-665-4301,2022-11-30
16,일반배움터,배산작은도서관 강의실,부산광역시 연제구 배산북로 8 (연산동) 배산작은도서관 강의실,35.17509638,129.0933173,,2022-11-30
17,일반배움터,해맞이작은도서관,부산광역시 연제구 해맞이로43번길 36 (거제동) 해맞이작은도서관,35.17937344,129.0665647,051-665-4508,2022-11-30
18,일반배움터,거제2동 복지회관 솔벗도서관,부산광역시 연제구 아시아드대로22번길 15(거제동),35.18764372,129.0701315,,2022-11-30
19,일반배움터,건강한 미래교육 평생교육원,부산광역시 연제구 고분로 118 (연산동) 쿨빌딩 4층,35.18559809,129.0952478,051-852-8878,2022-11-30
20,거점센터,금정구청 정보화교육장 본관 4층,부산광역시 금정구 중앙대로 1777 (부곡동) 금정구청 본관 4층 전산교육장,35.2420498,129.0924585,051-519-4301,2022-11-30
21,일반배움터,금정구 평생학습관 교육장,부산광역시 금정구 작장2길 49 (노포동) 금정구 평생학습관,35.28256285,129.0928712,051-714-4232,2022-11-30
22,일반배움터,금정도서관,부산광역시 금정구 금정도서관로 33 (청룡동) 금정도서관,35.27260879,129.0961776,051-519-5620,2022-11-30
23,일반배움터,금정구 종합사회복지관,부산광역시 금정구 반송로490번길 47 (금사동) 금정구종합사회복지관,35.2146544,129.1183632,051-532-0115,2022-11-30
24,일반배움터,부산은애학교,부산광역시 금정구 청룡예전로 107 (청룡동) 부산은애학교,35.27868743,129.0848168,,2022-11-30
25,거점센터,중구청 정보화교육장,부산광역시 중구 중구로 120 (대청동1가) 중구청 정보화교육장,35.10619736,129.0323514,051-600-4301,2022-11-30
26,일반배움터,한마음평생교육관,부산광역시 중구 대청로 63-1 (보수동1가) 한마음평생학습관,35.10321384,129.0270379,,2022-11-30
27,일반배움터,대한노인회 중구지회,부산광역시 중구 대청로99번길 22 (대청동2가) 대한노인회 중구지회,35.10453177,129.031058,051-247-1820,2022-11-30
28,일반배움터,영주1동 원로의 집,부산광역시 중구 초량상로7번길 11 (영주동) 영주1동 원로의 집,35.11321322,129.0341184,051-247-1820,2022-11-30
29,거점센터,남구청 정보화교육장,부산광역시 남구 못골로 19 (대연동) 남구청 정보화교육장,35.13650057,129.0841098,051-607-4301,2022-11-30
30,일반배움터,감만종합사회복지관,부산광역시 남구 우암로 84-1 (감만동) 감만종합사회복지관,35.11847034,129.0813474,051-634-3415,2022-11-30
31,일반배움터,남구도서관,부산광역시 남구 수영로267번길 61 (대연동) 남구도서관,35.13769539,129.0945721,051-621-8160,2022-11-30
32,일반배움터,남구 노인복지관,부산광역시 남구 못골로 97-10 (대연동) 남구 노인복지관,35.13618392,129.093257,051-628-1291,2022-11-30
33,일반배움터,대연5동 행정복지센터,부산광역시 남구 진남로46번길 7 (대연동) 대현5동 행정복지센터,35.13845632,129.0901601,051-607-4805,2022-11-30
34,일반배움터,롯데캐슬레전드아파트 커뮤니티센터,"부산광역시 남구 수영로 135 (대연동, 대연롯데캐슬레전드) 롯데캐슬레전드아파트 커뮤니티센터",35.13515545,129.0803064,051-647-8330,2022-11-30
35,거점센터,동구구민정보 교육센터,부산광역시 동구 구청로 1 (수정동) 동구청 구민정보교육센터,35.12929736,129.045294,051-440-4301,2022-11-30
36,일반배움터,동구도서관 다목적강의실,부산광역시 동구 성북로36번길 54 (범일동) 다목적강의실,35.13806921,129.0524291,051-440-6411,2022-11-30
37,일반배움터,동구노인복지관 초량분관,부산광역시 동구 초량남로 12 (초량동) 동구노인복지관 초량분관,35.11956188,129.034846,,2022-11-30
38,거점센터,구 전산교육장,부산광역시 서구 구덕로 120 (토성동4가) 서구청 전산교육장,35.09753855,129.023424,051-240-4301,2022-11-30
39,일반배움터,부민 노인복지관,부산광역시 서구 부용로 30 (부용동2가) 부민노인복지관,35.10743629,129.0180414,051-243-3531,2022-11-30
40,일반배움터,서구 가족센터,부산광역시 서구 구덕로 127 (토성동5가) 부산서구건강가정다문화가족지원센터,35.09633318,129.0220599,051-241-6200,2022-11-30
41,일반배움터,서구노인복지관,부산광역시 서구 장군산로46번길 21 (암남동) 서구노인복지관,35.07312369,129.014347,051-244-3541,2022-11-30
42,일반배움터,글로벌청소년교육문화,"부산광역시 서구 충무대로 8 (암남동, 기산비치타운) 기산비치타운 3층 308호 글로벌청소년교육문화",35.07643263,129.0164056,051-257-0579,2022-11-30
43,일반배움터,부산시립 구덕도서관,부산광역시 서구 대신공원로 41 (서대신동3가) 부산시립 구덕도서관,35.12167902,129.0169023,051-220-3800,2022-11-30
44,거점센터,영도구청 정보화교육장 (4층),부산광역시 영도구 태종로 423 (청학동) 영도구청 정보화교육장,35.09121408,129.0679144,051-419-4301,2022-11-30
45,일반배움터,한울마당작은도서관,부산광역시 영도구 와치로161번길 37 (동삼동) 작은도서관,35.08119418,129.065448,051-419-5767,2022-11-30
46,일반배움터,동삼종합사회복지관,부산광역시 영도구 상리로 30 (동삼동) 동삼종합사회복지관,35.0833273,129.0668355,051-405-2133,2022-11-30
47,일반배움터,남항작은도서관,부산광역시 영도구 절영로 71 (남항동2가) 남항작은도서관,35.08860879,129.0389287,051-419-5677,2022-11-30
48,일반배움터,영도구평생학습관,부산광역시 영도구 와치로 259 (동삼동) 영도놀이마루 1층 평생학습관,35.07583523,129.0690405,051-403-3464,2022-11-30
49,거점센터,강서구청 정보화교육장,부산광역시 강서구 낙동북로 477 (대저1동) 강서구청 정보화교육장,35.2121997,128.9805896,051-970-4301,2022-11-30
50,일반배움터,진목행복센터,부산광역시 강서구 낙동남로991번길 5 (명지동) 진목행복센터 2층,35.11457373,128.9214944,051-970-4744,2022-11-30
51,일반배움터,신호동 평생학습관,부산광역시 강서구 신호산단1로 60 (신호동) 수협 2층,35.08369227,128.8726982,051-970-2365,2022-11-30
52,일반배움터,명지노인종합복지관,부산광역시 강서구 명지국제13로 33 (명지동) 명지노인종합사회복지관,35.11055084,128.9230177,,2022-11-30
53,일반배움터,더 힐 시그니처 커뮤니티센터,"부산광역시 강서구 명지국제7로 110 (명지동, 더 힐 시그니처) 더 힐 시그니처 커뮤니티센터",35.09584286,128.9131013,,2022-11-30
54,일반배움터,부산국회도서관,부산광역시 강서구 명지국제1로 161 (명지동) 부산국회도서관,35.10351612,128.9044011,051-987-0201,2022-11-30
55,일반배움터,명지2동 행정복지센터,부산광역시 강서구 명지오션시티11로 35 (명지동) 명지2동 행정복지센터,35.08456457,128.9000682,051-970-2984,2022-11-30
56,일반배움터,강동동 행정주민센터,부산광역시 강서구 제도로 1171 (강동동) 강동동 주민센터 새마을쉼터,35.21452388,128.9352664,051-970-2937,2022-11-30
57,일반배움터,녹산주민문화회관,부산광역시 강서구 미음국제3로 16 (미음동) 녹산주민문화회관,35.14473802,128.8736907,051-987-0201,2022-11-30
58,거점센터,북구청 정보화 교육장,부산광역시 북구 낙동대로1570번길 33 (구포동) 북구청 정보화교육장,35.19687972,128.9900906,051-309-4306,2022-11-30
59,일반배움터,만덕도서관,부산광역시 북구 은행나무로 26 (만덕동) 만덕도서관,35.20724231,129.0377929,051-987-0201,2022-11-30
60,일반배움터,화명도서관 정보화 교육장,부산광역시 북구 화명대로12번길 59 (화명동) 화명도서관,35.2321898,129.0093939,051-309-6482,2022-11-30
61,일반배움터,금곡도서관 프로그램실,부산광역시 북구 효열로203번길 34 (금곡동) 금곡도서관,35.26323521,129.016714,051-309-6181,2022-11-30
62,일반배움터,금곡동 행정복지센터 동호회방,부산광역시 북구 금곡대로 466 (금곡동) 금곡행정복지센터,35.25008046,129.0128465,051-309-6262,2022-11-30
63,일반배움터,북구 평생학습관 직업능력실,부산광역시 북구 의성로115번길 71 (덕천동) 북구 평생학습관 직업능력실,35.21138646,129.0146934,051-309-6172,2022-11-30
64,일반배움터,실버벨 종합복지관 3층 컴퓨터실,부산광역시 북구 시랑로114번길 45 (구포동) 실버벨노인종합복지관,35.19426517,129.0086933,051-337-5959,2022-11-30
65,일반배움터,만덕종합사회복지관,부산광역시 북구 함박봉로140번길 102 (만덕동) 만덕종합사회복지관,35.20185453,129.0353961,,2022-11-30
66,일반배움터,북구 다문화가족지원센터 ,부산광역시 북구 효열로 76 화정종합사회복지관 내 북구다문화가족지원센터,35.25363765,129.0153852,,2022-11-30
67,거점센터,사하구청 정보화교육장,부산광역시 사하구 낙동대로398번길 12 (당리동) 사하구청 정보화교육장,35.10450217,128.9747879,051-220-4301,2022-11-30
68,일반배움터,사하우체국,부산광역시 사하구 다대로 166 (신평동) 사하우체국 4층 대회의실,35.08774524,128.9769899,,2022-11-30
69,일반배움터,몰운대 종합 사회복지관,부산광역시 사하구 다대낙조2길 17 (다대동) 몰운대종합사회복지관,35.05122843,128.9635537,,2022-11-30
70,일반배움터,사하구 다문화가족지원센터,부산광역시 사하구 신산로 177 (신평동) 사하구다문화가족지원센터,35.0902405,128.9749579,051-205-8345,2022-11-30
71,일반배움터,두송사회복지관,"부산광역시 사하구 다송로 59 (다대동, 다대4지구도개공영구임대아파트) 두송종합사회복지관",35.06274344,128.985473,,2022-11-30
72,일반배움터,사하장애인종합복지관,부산광역시 사하구 사하로68번길 65 (구평동) 사하구 장애인종합복지관,35.08544264,128.992995,,2022-11-30
73,거점센터,사상구청 전산교육장,부산광역시 사상구 학감대로 242 (감전동) 사상구청 정보화교육장,35.15254688,128.9914512,051-310-4301,2022-11-30
74,일반배움터,사상도서관,부산광역시 사상구 덕상로72번길 9 (덕포동) 사상도서관,35.17810597,128.9898077,051-310-7951,2022-11-30
75,일반배움터,냉정어울림센터,부산광역시 사상구 진사로36번길 46 (주례동) 냉정어울림센터,35.14714087,129.0140039,,2022-11-30
76,일반배움터,부산도서관,부산광역시 사상구 사상로310번길 33 (덕포동) 부산도서관,35.17272541,128.9852963,051-310-5464,2022-11-30
77,일반배움터,가포마을행복센터,부산광역시 사상구 삼덕로46번안길 17-4 (삼락동) 가포마을행복센터,35.17175785,128.980125,,2022-11-30
78,일반배움터,사상구 종합사회복지관,부산광역시 사상구 백양대로 527 (주례동) 사상구종합사회복지관,35.15543108,128.9947789,051-314-8948,2022-11-30
79,거점센터,기장군청 멀티미디어 교육장,부산광역시 기장군 기장읍 기장대로 560  기장군청,35.24347702,129.2229513,051-709-4301,2022-11-30
80,일반배움터,사랑샘지역아동센터,부산광역시 기장군 정관읍 정관로 580  사랑샘프라자 3층 307호,35.32062942,129.1770764,051-728-7668,2022-11-30
81,일반배움터,꿈꾸는 작은도서관,부산광역시 기장군 정관읍 방곡로 29 (이지더원5차) 이지더원5차 505동 꿈구는작은도서관,35.32786748,129.1881031,051-727-5787,2022-11-30
82,일반배움터,정관읍 행정복지센터,부산광역시 기장군 정관읍 용수로 4  정관읍 행정복지센터 정보화교육장,35.3255014,129.1802926,051-987-0201,2022-11-30
83,거점센터,반여2동 행정복지센터,부산광역시 해운대구 재반로211번길 9 (반여동) 반여2동 행정복지센터,35.19588635,129.1301406,051-749-4306,2022-11-30
84,일반배움터,영진종합사회복지관,부산광역시 해운대구 반여로 165 (반여동) 영진종합사회복지관,35.20575591,129.1263349,,2022-11-30
85,일반배움터,청소년 문화의 집,부산광역시 해운대구 반송순환로 135 (반송동) 해운대구 청소년 문화의집,35.22293886,129.1528256,,2022-11-30
86,일반배움터,해운대 종합사회복지센터,부산광역시 해운대구 재반로12번길 16 (재송동) 해운대 종합복지관,35.17966779,129.1275334,051-782-5005,2022-11-30
87,일반배움터,해운대 문화복합센터,부산광역시 해운대구 센텀중앙로 170(재송동) ,35.18218753,129.1211894,051-749-4306,2022-11-30
88,일반배움터,아시아 선수촌 커뮤니티,"부산광역시 해운대구 선수촌로 122 (반여동, 아시아선수촌아파트) 아시아선수촌커뮤니티",35.20387017,129.1216854,,2022-11-30
