시도,구군,시설명,주소,전화번호,경도,위도
부산광역시,중구, 노틀담재가노인지원서비스센터 ,부산광역시 중구 망양로 309,051-464-3328,129.0282438,35.10578162
부산광역시,서구, 송도재가노인지원서비스센터 ,부산광역시 서구 암남공원로 522,051-246-9312,129.0118835,35.07961642
부산광역시,서구, 인창서구재가노인지원서비스센터 ,부산광역시 서구 망양로 72-1,051-242-0906,129.0168914,35.11551352
부산광역시,동구, 봉생동구재가노인지원서비스센터 ,부산광역시 동구 좌천남로 9번길 1,051-465-5151,129.0488327,35.13230445
부산광역시,동구, 인창동구재가노인지원서비스센터 ,부산광역시 동구 중앙대로 287,051-467-7887,129.043219,35.1223204
부산광역시,동구, 효자손재가노인지원서비스센터 ,부산광역시 동구 홍곡중로5번길 24,051-464-1004,129.0404219,35.12580585
부산광역시,영도구, 와치재가노인지원서비스센터 ,부산광역시 영도구 함지로 79번길 76,051-403-4200,129.0655229,35.07600143
부산광역시,영도구, 상리재가노인지원서비스센터 ,부산광역시 영도구 상리로 63-16,051-404-5061,129.0707765,35.08616799
부산광역시,부산진구, 개금재가노인지원서비스센터 ,부산광역시 부산진구 백양관문로 77번길140,051-893-5034,129.0249942,35.16412973
부산광역시,부산진구, 부산진구재가노인지원서비스센터 ,부산광역시 부산진구 당감로 11,051-896-8528,129.0396515,35.16267961
부산광역시,부산진구, 부산진구종합재가노인지원서비스센터 ,부산광역시 부산진구 복지로 117-12,051-893-0035,129.0201588,35.14260918
부산광역시,부산진구, 선양재가노인지원서비스센터 ,부산광역시 부산진구 엄광로292번지(가야동),051-951-0100,129.041627,35.15491963
부산광역시,동래구, 동래구노인복지관재가노인지원서비스센터 ,부산광역시 동래구 사직북로 77,051-506-5757,129.0872104,35.20367126
부산광역시,동래구, 도영재가노인지원서비스센터 ,부산광역시 동래구 시실로 211번길 69-2,051-527-5004,129.0995842,35.20915696
부산광역시,동래구, 사직재가노인지원서비스센터 ,부산광역시 동래구 명륜로 207번길 18,051-554-6252,129.0819668,35.21238058
부산광역시,동래구, 효림원재가노인지원서비스센터 ,부산광역시 동래구 명안로 10번길 103,051-531-3853,129.1099861,35.19716368
부산광역시,남구, 용호재가노인지원서비스센터 ,부산광역시 남구 이기대공원로 7,051-628-6737,129.1134862,35.12456084
부산광역시,남구, 청전재가노인지원서비스센터 ,부산광역시 남구 수영로 172길 13,051-622-1226,129.0878605,35.12563216
부산광역시,북구, 부산삼동재가노인지원서비스센터 ,부산광역시 북구 사랑로 114번길 45,051-337-5959,129.017144,35.22468839
부산광역시,북구, 장선재가노인지원서비스센터 ,부산광역시 북구 금곡대로 324번길 11,051-343-5685,129.0147195,35.2372741
부산광역시,북구, 청록재가노인지원서비스센터 ,부산광역시 북구 만덕대로 155번길 86-9,051-337-0660,129.021114,35.21803874
부산광역시,북구, 화정재가노인지원서비스센터 ,부산광역시 북구 효열로 76-1,051-362-0111,129.0142428,35.25279093
부산광역시,해운대구, 어진샘재가노인지원서비스센터 ,부산광역시 해운대구 재반로 12번길 16,051-784-8005,129.1275334,35.17966779
부산광역시,해운대구, 영진재가노인지원서비스센터 ,"부산광역시 해운대구 새신로 27번길 19, 9층",051-703-1679,129.1538661,35.19171428
부산광역시,해운대구, 장산재가노인지원서비스센터 ,부산광역시 해운대구 반여로155번길 6,051-521-0840,129.1255373,35.20525856
부산광역시,사하구, 두송재가노인지원서비스센터 ,부산광역시 낙동대로 128,051-201-3471,129.0018709,35.10369515
부산광역시,사하구, 아들재가노인지원서비스센터 ,부산광역시 사하구 다송로 59,051-265-9471,128.985473,35.06274344
부산광역시,사하구, 인창재가노인지원서비스센터 ,부산광역시 사하구 천해로 131,051-202-2727,129.0082185,35.08830952
부산광역시,금정구, 금정구재가노인지원서비스센터 ,부산광역시 금정구 반송로490번길 47,051-581-8049,129.1183632,35.2146544
부산광역시,금정구, 남광재가노인지원서비스센터 ,부산광역시 금정구 금샘로17번안길 45,051-508-0380,129.074929,35.22920006
부산광역시,금정구, 애광재가노인지원서비스센터 ,부산광역시 금정구 중앙대로 2349번길 3,051-532-0115,129.1000092,35.29339563
부산광역시,강서구, 강서구재가노인지원서비스센터 ,부산광역시 강서구 순아강변길 5,051-271-0560,128.9028146,35.11976243
부산광역시,강서구, 낙동재가노인지원서비스센터 ,부산광역시 강서구 대저로 63번길 31,051-972-4591,128.9593912,35.21679563
부산광역시,강서구, 하늘바람재가노인지원서비스센터 ,부산광역시 강서구 체육공원로 39,051-972-4852,128.9734691,35.20732663
부산광역시,연제구, 부산시노인복지관 재가노인지원서비스센터 ,부산광역시 연제구 거제천로 230번길 18 (연산동),051-853-1872,129.0821016,35.19110671
부산광역시,연제구, 혜원재가노인지원서비스센터 ,부산광역시 연제구 묘봉산로 31-1 (연산동),051-866-0183,129.0902472,35.18358811
부산광역시,수영구, 남천재가노인지원서비스센터 ,부산광역시 수영구 수영로 425,051-624-5523,129.1089905,35.14414427
부산광역시,수영구, 수영재가노인지원서비스센터 ,부산광역시 수영구 연수로 320-1,051-751-7272,129.1055715,35.17204648
부산광역시,사상구, 사상구재가노인지원서비스센터 ,부산광역시 사상구 학감대로 49번길28-70,051-311-4017,128.9897461,35.13865221
부산광역시,사상구, 학장재가노인지원서비스센터 ,부산광역시 사상구 학감대로 39번길 129,051-310-7511,128.996382,35.13120626
